City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Guapiacu,BR,79.09,clear sky,-20.795,-49.2203,Chacara Rosa De Saron
8,Pemangkat,ID,82.72,few clouds,1.1667,108.9667,Ramah Kost KITA
12,East London,ZA,71.85,clear sky,-33.0153,27.9116,Tu Casa
14,Puerto Ayora,EC,72.86,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Avarua,CK,78.85,moderate rain,-21.2078,-159.775,Paradise Inn
16,Hithadhoo,MV,82.62,broken clouds,-0.6,73.0833,Scoop Guest House
19,Rikitea,PF,78.71,overcast clouds,-23.1203,-134.9692,People ThankYou
20,Trinidad,BO,72.28,overcast clouds,-14.8333,-64.9,Hotel Piesta
22,Bredasdorp,ZA,78.28,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
23,Tual,ID,82.78,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
25,Dubti,ET,70.9,overcast clouds,11.7361,41.0853,degu Shiferaw
26,Bodden Town,KY,73.92,clear sky,19.2833,-81.25,Will T Place
28,Belmonte,BR,81.1,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
30,Coari,BR,73.02,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
38,Razole,IN,79.09,clear sky,16.4833,81.8333,Sterling Palavelli Godavari
41,Namibe,AO,73.67,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
43,Butaritari,KI,82.44,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
61,Atuona,PF,78.73,few clouds,-9.8,-139.0333,Villa Enata
62,Mahebourg,MU,84.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
69,Ugoofaaru,MV,80.91,overcast clouds,5.6667,73.0,Ungoofaaru Inn
70,Pitimbu,BR,77.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
72,Vila Velha,BR,72.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
73,Kapaa,US,76.98,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
75,Rocha,UY,73.42,moderate rain,-34.4833,-54.3333,Hotel Arrarte
102,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
105,Sao Filipe,CV,73.42,overcast clouds,14.8961,-24.4956,Hotel Xaguate
107,Cidreira,BR,76.26,clear sky,-30.1811,-50.2056,Hotel Castelo
109,Saldanha,ZA,73.45,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
112,Tutoia,BR,76.57,overcast clouds,-2.7619,-42.2744,Pousada Guará's
115,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
116,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Poutur Pousada
117,Codrington,AU,80.65,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
118,Cockburn Town,TC,77.95,clear sky,21.4612,-71.1419,Osprey Beach Hotel
127,Souillac,MU,84.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
128,Hilo,US,74.93,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
130,Kavieng,PG,84.7,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
132,Kerema,PG,84.49,broken clouds,-7.9631,145.7785,Frena Lodge
134,Esperance,AU,75.76,few clouds,-33.8667,121.9,Hospitality Esperance
135,Bambous Virieux,MU,84.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
137,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
139,Sao Joao Da Barra,BR,75.16,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
140,Nishihara,JP,72.68,overcast clouds,26.1842,127.7558,Minshuku Agaihama
141,Victoria,HK,73.38,broken clouds,22.2855,114.1577,Mini Hotel Central
142,Acandi,CO,76.39,overcast clouds,8.5063,-77.2778,Hotel Patio Bonito
144,Passira,BR,74.01,clear sky,-7.995,-35.5806,Origami Motel
146,Maragogi,BR,78.19,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
148,Lamu,KE,77.05,broken clouds,-2.2717,40.902,Lamu House
154,Quatre Cocos,MU,84.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
159,Puerto Leguizamo,CO,72.36,overcast clouds,-0.1934,-74.7819,la casona de juancho
160,Port Lincoln,AU,74.61,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
163,Sorong,ID,83.66,broken clouds,-0.8833,131.25,Waigo Splash Hotel
165,Kahului,US,75.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
166,Mar Del Plata,AR,73.09,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
169,Cape Town,ZA,77.41,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
171,Pochutla,MX,76.05,clear sky,15.7432,-96.4661,Hotel Posada San Jose
177,Port Alfred,ZA,71.38,clear sky,-33.5906,26.891,The Halyards Hotel
183,Balabac,PH,82.78,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
190,Vao,NC,76.57,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
196,Bubaque,GW,78.21,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
200,Richards Bay,ZA,71.92,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
201,Loiza,PR,75.87,scattered clouds,18.4313,-65.8802,Malibu Beachfront
204,Labuhan,ID,79.25,overcast clouds,-6.8844,112.2051,DoubleFAG
209,Hermanus,ZA,78.8,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
211,Ixtapa,MX,74.43,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
213,Ouidah,BJ,73.26,clear sky,6.3631,2.0851,Djegba Hotel
215,Noumea,NC,81.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
220,Port Augusta,AU,84.34,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
224,Chuy,UY,74.25,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
229,Zhuhai,CN,71.78,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
231,Port Blair,IN,82.44,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
236,Itarema,BR,77.85,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
237,Grand Gaube,MU,84.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
238,Banda Aceh,ID,82.42,broken clouds,5.5577,95.3222,Sulthan Hotel International
239,Sydney,AU,79.61,broken clouds,-33.8679,151.2073,The Grace Sydney
242,Porto Novo,BJ,73.22,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
248,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
250,Itoman,JP,73.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
252,La Brea,HN,71.38,clear sky,15.8,-85.9667,Hotel reynita
256,Caravelas,BR,74.61,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
266,Sinnamary,GF,75.34,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
271,Samarai,PG,83.84,overcast clouds,-10.6167,150.6667,Nuli Sapi
274,Tonj,SS,71.89,broken clouds,7.2737,28.6822,Lakan Hotel
277,Kalmunai,LK,77.58,clear sky,7.4167,81.8167,VS Villa
279,Arraial Do Cabo,BR,75.0,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
282,Road Town,VG,75.99,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
284,Bahia Blanca,AR,73.98,clear sky,-38.7196,-62.2724,Hotel Argos
286,Capitan Bado,PY,78.51,clear sky,-23.2667,-55.5333,Hotel Suiza
287,Kidodi,TZ,71.53,light rain,-7.6036,37.0044,Royal Family Lodge
297,Ilo,PE,70.97,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
302,Porto Velho,BR,73.45,clear sky,-8.7619,-63.9039,Hotel Central
303,Ambulu,ID,84.81,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
307,San Andres,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
308,Broken Hill,AU,82.11,light rain,-31.95,141.4333,Royal Exchange Hotel
313,Ribas Do Rio Pardo,BR,77.86,clear sky,-20.4431,-53.7592,Pousada Avenida
315,Trincomalee,LK,76.28,broken clouds,8.5711,81.2335,Welcombe Hotel
326,Mananara,MG,75.34,overcast clouds,-16.1667,49.7667,Chez Roger
328,Codo,BR,72.18,scattered clouds,-4.4553,-43.8856,Hotel Porto do Sol
329,Eyl,SO,73.15,scattered clouds,7.9803,49.8164,Amiin Hotel
330,Bengkulu,ID,84.36,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
336,Carutapera,BR,76.55,overcast clouds,-1.195,-46.02,Lidera
338,Bosaso,SO,75.18,few clouds,11.2842,49.1816,Red Sea Hotel
340,Flinders,AU,77.81,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
344,Basco,PH,78.35,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
346,Takoradi,GH,77.4,clear sky,4.8845,-1.7554,Raybow International Hotel
350,Tautira,PF,77.02,broken clouds,-17.7333,-149.15,Pension Oaoa
354,Tiarei,PF,77.02,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
361,Kapoeta,SS,80.62,broken clouds,4.7717,33.5903,Eastgate Hotel
363,Zihuatanejo,MX,75.06,scattered clouds,17.6333,-101.55,La Casa Que Canta
367,Key West,US,71.6,overcast clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
374,Trairi,BR,77.11,scattered clouds,-3.2778,-39.2689,janelas do mar
381,Puerto Carreno,CO,79.95,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
382,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
