City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2022-01-22 16:27:47,-42.8794,147.3294,62.28,86,90,4.61
1,Puerto Ayora,EC,2022-01-22 16:31:14,-0.7393,-90.3518,78.76,75,97,7.23
2,Rikitea,PF,2022-01-22 16:32:27,-23.1203,-134.9692,77.92,70,100,10.65
3,Kruisfontein,ZA,2022-01-22 16:32:28,-34.0033,24.7314,80.89,60,18,20.29
4,Severo-Kurilsk,RU,2022-01-22 16:32:15,50.6789,156.125,27.19,76,99,13.67
5,Ballater,GB,2022-01-22 16:32:28,57.0493,-3.0402,48.0,86,68,5.84
6,Killybegs,IE,2022-01-22 16:32:29,54.6333,-8.45,47.91,84,80,10.42
7,Pyay,MM,2022-01-22 16:32:29,18.8167,95.2167,64.2,55,9,1.97
8,Albany,US,2022-01-22 16:30:02,42.6001,-73.9662,22.48,62,3,1.01
9,Khatanga,RU,2022-01-22 16:32:30,71.9667,102.5,12.7,93,100,14.32
10,Kununurra,AU,2022-01-22 16:32:30,-15.7667,128.7333,80.58,94,40,0.0
11,Vaini,TO,2022-01-22 16:32:30,-21.2,-175.2,77.16,94,40,3.44
12,Mahebourg,MU,2022-01-22 16:32:31,-20.4081,57.7,82.26,89,40,11.5
13,Atuona,PF,2022-01-22 16:32:31,-9.8,-139.0333,78.44,78,78,21.52
14,Barrow,US,2022-01-22 16:32:31,71.2906,-156.7887,-11.18,70,100,24.16
15,Bredasdorp,ZA,2022-01-22 16:32:32,-34.5322,20.0403,92.28,78,44,14.97
16,Faratsiho,MG,2022-01-22 16:32:32,-19.4,46.95,60.98,98,100,6.29
17,Thompson,CA,2022-01-22 16:32:32,55.7435,-97.8558,-21.84,69,0,6.91
18,Klaksvik,FO,2022-01-22 16:32:33,62.2266,-6.589,47.32,84,100,37.96
19,Whitianga,NZ,2022-01-22 16:32:33,-36.8333,175.7,62.02,83,6,1.21
20,Jamestown,US,2022-01-22 16:32:34,42.097,-79.2353,17.51,43,0,7.0
21,San Juan,AR,2022-01-22 16:32:34,-31.5375,-68.5364,90.37,39,43,9.73
22,Maldonado,UY,2022-01-22 16:32:35,-34.6667,-54.9167,78.19,54,17,5.79
23,Talnakh,RU,2022-01-22 16:32:35,69.4865,88.3972,15.21,94,100,14.76
24,Baruun-Urt,MN,2022-01-22 16:32:35,46.6806,113.2792,-3.66,99,50,3.02
25,Rocha,UY,2022-01-22 16:32:26,-34.4833,-54.3333,93.81,52,28,6.64
26,Clyde River,CA,2022-01-22 16:28:44,70.4692,-68.5914,-19.97,76,75,11.5
27,Gusau,NG,2022-01-22 16:32:36,12.1628,6.6614,80.53,13,10,10.02
28,Yinchuan,CN,2022-01-22 16:32:37,38.4681,106.2731,29.62,49,100,0.22
29,Pangnirtung,CA,2022-01-22 16:32:37,66.1451,-65.7125,-0.4,78,100,13.8
30,Avarua,CK,2022-01-22 16:32:38,-21.2078,-159.775,78.85,89,75,17.27
31,Rypefjord,NO,2022-01-22 16:32:38,70.6333,23.6667,36.07,69,100,9.22
32,Qaanaaq,GL,2022-01-22 16:32:38,77.484,-69.3632,-3.12,98,100,1.97
33,Busselton,AU,2022-01-22 16:32:39,-33.65,115.3333,76.08,60,11,10.16
34,Port Lincoln,AU,2022-01-22 16:30:29,-34.7333,135.8667,67.86,98,40,6.42
35,Punta Arenas,CL,2022-01-22 16:31:29,-53.15,-70.9167,50.11,71,75,4.61
36,Ushuaia,AR,2022-01-22 16:28:22,-54.8,-68.3,47.86,87,75,20.71
37,Bluff,NZ,2022-01-22 16:32:39,-46.6,168.3333,54.81,68,34,16.69
38,Arraial Do Cabo,BR,2022-01-22 16:32:16,-22.9661,-42.0278,85.96,69,0,19.57
39,Mar Del Plata,AR,2022-01-22 16:32:07,-38.0023,-57.5575,75.09,100,100,14.0
40,Xining,CN,2022-01-22 16:32:40,36.6167,101.7667,23.61,90,65,0.56
41,Ewo,CG,2022-01-22 16:32:40,-0.8725,14.8206,85.78,47,90,2.93
42,Airai,TL,2022-01-22 16:32:41,-8.9266,125.4092,59.54,82,75,2.1
43,Hermanus,ZA,2022-01-22 16:32:41,-34.4187,19.2345,92.8,54,31,12.12
44,Kaitangata,NZ,2022-01-22 16:32:41,-46.2817,169.8464,55.92,64,17,7.09
45,Bognor Regis,GB,2022-01-22 16:30:31,50.7821,-0.6798,43.14,85,9,5.68
46,Cidreira,BR,2022-01-22 16:32:42,-30.1811,-50.2056,82.42,71,7,13.58
47,Mataura,NZ,2022-01-22 16:33:42,-46.1927,168.8643,54.48,84,43,5.23
48,Nome,US,2022-01-22 16:33:43,64.5011,-165.4064,22.15,93,100,12.66
49,Malm,NO,2022-01-22 16:33:43,64.0721,11.2172,45.79,83,100,20.33
50,Souillac,MU,2022-01-22 16:33:44,-20.5167,57.5167,82.36,89,40,11.5
51,Saint-Philippe,RE,2022-01-22 16:33:44,-21.3585,55.7679,83.79,87,44,16.8
52,Leningradskiy,RU,2022-01-22 16:29:15,69.3833,178.4167,-19.37,95,100,10.65
53,Tasiilaq,GL,2022-01-22 16:33:44,65.6145,-37.6368,12.36,46,32,13.53
54,Provideniya,RU,2022-01-22 16:33:45,64.3833,-173.3,6.42,93,100,14.65
55,East London,ZA,2022-01-22 16:30:14,-33.0153,27.9116,76.14,78,20,18.41
56,Kavieng,PG,2022-01-22 16:33:45,-2.5744,150.7967,81.84,74,96,4.59
57,Kieta,PG,2022-01-22 16:33:46,-6.2167,155.6333,79.77,86,63,8.01
58,Port Elizabeth,ZA,2022-01-22 16:33:46,-33.918,25.5701,83.1,78,0,25.32
59,San Javier,ES,2022-01-22 16:33:46,37.8063,-0.8374,52.81,84,100,5.01
60,Taltal,CL,2022-01-22 16:33:47,-25.4,-70.4833,70.5,70,23,9.33
61,Cape Town,ZA,2022-01-22 16:30:23,-33.9258,18.4232,92.88,44,20,3.0
62,Katsuura,JP,2022-01-22 16:33:47,35.1333,140.3,43.2,65,78,4.09
63,Sao Joao Da Barra,BR,2022-01-22 16:33:48,-21.6403,-41.0511,87.89,70,2,9.13
64,Torbay,CA,2022-01-22 16:33:48,47.6666,-52.7314,22.48,77,59,3.0
65,Tambacounda,SN,2022-01-22 16:33:48,13.7539,-13.7586,100.45,13,0,14.97
66,Peniche,PT,2022-01-22 16:33:49,39.3558,-9.3811,61.74,56,46,10.76
67,Fortuna,US,2022-01-22 16:33:49,40.5982,-124.1573,53.94,93,0,6.91
68,Nikolskoye,RU,2022-01-22 16:33:49,59.7035,30.7861,24.69,99,92,3.11
